Section,Key,Value
Essentials,Product Collection,13th Generation Intel® Core™ i7 Processors
Essentials,Code Name,Products formerly Raptor Lake
Essentials,Vertical Segment,Desktop
Essentials,Processor Number,i7-13700K
Essentials,Lithography,Intel 7
Essentials,Recommended Customer Price,$409.00-$419.00
CPU Specifications,Total Cores,16
CPU Specifications,# of Performance-cores,8
CPU Specifications,# of Efficient-cores,8
CPU Specifications,Total Threads,24
CPU Specifications,Max Turbo Frequency,5.40 GHz
CPU Specifications,Intel® Turbo Boost Max Technology 3.0 Frequency‡,5.40 GHz
CPU Specifications,Performance-core Max Turbo Frequency,5.30 GHz
CPU Specifications,Efficient-core Max Turbo Frequency,4.20 GHz
CPU Specifications,Performance-core Base Frequency,3.40 GHz
CPU Specifications,Efficient-core Base Frequency,2.50 GHz
CPU Specifications,Cache,30 MB Intel® Smart Cache
CPU Specifications,Total L2 Cache,24 MB
CPU Specifications,Processor Base Power,125 W
CPU Specifications,Maximum Turbo Power,253 W
Supplemental Information,Marketing Status,Launched
Supplemental Information,Launch Date,Q4'22
Supplemental Information,Embedded Options Available,No
Supplemental Information,Use Conditions,"PC/Client/Tablet, Workstation"
Supplemental Information,Datasheet,View now
Memory Specifications,Max Memory Size (dependent on memory type),192 GB
Memory Specifications,Memory Types,Up to DDR5 5600 MT/sUp to DDR4 3200 MT/s
Memory Specifications,Max # of Memory Channels,2
Memory Specifications,Max Memory Bandwidth,89.6 GB/s
Memory Specifications,ECC Memory Supported‡,Yes
GPU Specifications,GPU Name‡,Intel® UHD Graphics 770
GPU Specifications,Graphics Base Frequency,300 MHz
GPU Specifications,Graphics Max Dynamic Frequency,1.60 GHz
GPU Specifications,Graphics Output,"eDP 1.4b, DP 1.4a, HDMI 2.1"
GPU Specifications,Execution Units,32
GPU Specifications,Max Resolution (HDMI)‡,4096 x 2160 @ 60Hz
GPU Specifications,Max Resolution (DP)‡,7680 x 4320 @ 60Hz
GPU Specifications,Max Resolution (eDP - Integrated Flat Panel)‡,5120 x 3200 @ 120Hz
GPU Specifications,DirectX* Support,12
GPU Specifications,OpenGL* Support,4.5
GPU Specifications,OpenCL* Support,3.0
GPU Specifications,Multi-Format Codec Engines,2
GPU Specifications,Intel® Quick Sync Video,Yes
GPU Specifications,Intel® Clear Video HD Technology,Yes
GPU Specifications,# of Displays Supported‡,4
GPU Specifications,Device ID,0xA780
Expansion Options,Direct Media Interface (DMI) Revision,4.0
Expansion Options,Max # of DMI Lanes,8
Expansion Options,Scalability,1S Only
Expansion Options,PCI Express Revision,5.0 and 4.0
Expansion Options,PCI Express Configurations‡,"Up to 1x16+4, 2x8+4"
Expansion Options,Max # of PCI Express Lanes,20
Package Specifications,Sockets Supported,FCLGA1700
Package Specifications,Max CPU Configuration,1
Package Specifications,Thermal Solution Specification,PCG 2020A
Package Specifications,TJUNCTION,100°C
Package Specifications,Package Size,45.0 mm x 37.5 mm
Package Specifications,Max Operating Temperature,100 °C
Advanced Technologies,Intel® Gaussian & Neural Accelerator,3.0
Advanced Technologies,Intel® Thread Director,Yes
Advanced Technologies,Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
Advanced Technologies,Intel® Speed Shift Technology,Yes
Advanced Technologies,Intel® Turbo Boost Max Technology 3.0‡,Yes
Advanced Technologies,Intel® Turbo Boost Technology‡,2.0
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set,64-bit
Advanced Technologies,Instruction Set Extensions,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
Advanced Technologies,Idle States,Yes
Advanced Technologies,Enhanced Intel SpeedStep® Technology,Yes
Advanced Technologies,Thermal Monitoring Technologies,Yes
Advanced Technologies,Intel® Volume Management Device (VMD),Yes
Security & Reliability,Intel vPro® Eligibility‡,"Intel vPro® Enterprise, Intel vPro® Essentials, Intel vPro® Platform"
Security & Reliability,Intel® Threat Detection Technology (TDT),Yes
Security & Reliability,Intel® Active Management Technology (AMT)‡,Yes
Security & Reliability,Intel® Standard Manageability (ISM)‡,Yes
Security & Reliability,Intel® Remote Platform Erase (RPE)‡,Yes
Security & Reliability,Intel® One-Click Recovery‡,Yes
Security & Reliability,Intel® Hardware Shield Eligibility‡,Yes
Security & Reliability,Intel® Secure Key,Yes
Security & Reliability,Intel® Control-Flow Enforcement Technology,Yes
Security & Reliability,Intel® Total Memory Encryption - Multi Key,Yes
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® OS Guard,Yes
Security & Reliability,Intel® Trusted Execution Technology‡,Yes
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® Boot Guard,Yes
Security & Reliability,Mode-based Execute Control (MBEC),Yes
Security & Reliability,Intel® Stable IT Platform Program (SIPP),Yes
Security & Reliability,Intel® Virtualization Technology with Redirect Protection (VT-rp)‡,Yes
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
